| x_pos | y_pos | z_pos |   lon |   lat |   vel | comp |    dist | e_dist |   prob | arm |
|     0 |     5 |   346 | 20.01 | -1.08 |  68.6 |    1 |  3.6264 | 0.4154 | 0.4794 | ScN |
|     0 |     5 |   346 | 20.01 | -1.08 |  68.6 |    2 |  4.8525 |  0.299 | 0.5206 | Nor |
|     0 |    11 |    59 | 20.01 | -1.04 |   7.6 |    1 |  0.2369 |  0.066 | 0.0595 | AqR |
|     0 |    11 |    59 | 20.01 | -1.04 |   7.6 |    2 |  1.2334 |   0.13 | 0.2542 | ... |
|     0 |    11 |    59 | 20.01 | -1.04 |   7.6 |    3 |  1.6883 | 0.2218 | 0.5734 | SgN |
|     0 |    11 |    59 | 20.01 | -1.04 |   7.6 |    4 |  2.3577 | 0.2736 | 0.0814 | ... |
|     0 |    11 |    59 | 20.01 | -1.04 |   7.6 |    5 |  3.1727 | 0.2796 | 0.0315 | ... |
|     0 |    11 |   211 | 20.01 | -1.04 |  39.9 |    1 |   3.294 | 0.1803 |    1.0 | ScN |
|     0 |    12 |   210 | 20.01 | -1.03 |  39.7 |    1 |  3.2917 | 0.1812 |    1.0 | ScN |
|     0 |    13 |   210 | 20.01 | -1.03 |  39.7 |    1 |  3.2917 | 0.1812 |    1.0 | ScN |
|     0 |    13 |   298 | 20.01 | -1.03 |  58.4 |    1 |  3.4521 | 0.1966 |    1.0 | ScN |
|     0 |    14 |   211 | 20.01 | -1.02 |  39.9 |    1 |  3.2944 | 0.1806 |    1.0 | ScN |
|     0 |    14 |   329 | 20.01 | -1.02 |  65.0 |    1 |  3.6172 |  0.363 | 0.6402 | ScN |
|     0 |    14 |   329 | 20.01 | -1.02 |  65.0 |    2 |  4.8695 | 0.3163 | 0.3598 | Nor |
|     0 |    15 |   211 | 20.01 | -1.01 |  39.9 |    1 |  3.2946 | 0.1807 |    1.0 | ScN |
|     0 |    16 |   211 | 20.01 | -1.01 |  39.9 |    1 |  3.2946 | 0.1807 |    1.0 | ScN |
|     0 |    17 |   211 | 20.01 |  -1.0 |  39.9 |    1 |  3.2948 | 0.1808 |    1.0 | ScN |
|     0 |    18 |   212 | 20.01 |  -1.0 |  40.1 |    1 |  3.2973 | 0.1801 |    1.0 | ScN |
|     0 |    19 |   212 | 20.01 | -0.99 |  40.1 |    1 |  3.2974 | 0.1802 |    1.0 | ScN |
|     0 |    20 |   212 | 20.01 | -0.98 |  40.1 |    1 |  3.2976 | 0.1804 |    1.0 | ScN |
|     0 |    21 |   213 | 20.01 | -0.98 |  40.3 |    1 |  3.3001 | 0.1797 |    1.0 | ScN |
|     0 |    22 |   213 | 20.01 | -0.97 |  40.3 |    1 |  3.3002 |   0.18 |    1.0 | ScN |
|     0 |    23 |   213 | 20.01 | -0.96 |  40.3 |    1 |  3.3004 | 0.1801 |    1.0 | ScN |
