GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb GName
10.1600 -0.3500 -15.7000 0.0292 0.0292 0 4.0500 0.5 1.0 0.0 0.0008511725208526234 0.0008511725208526234 G010.160-00.350
10.3089 -0.1494 -15.7000 0.0451 0.0451 0 4.0500 0.5 1.0 0.0 0.002032394237673611 0.002032394237673611 G010.308-00.150
10.6211 -0.3178 -10.0000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G010.621-00.318
10.6296 -0.3419 -9.1000 0.0018 0.0018 0 4.0500 0.5 1.0 0.0 3.2444014938271607e-06 3.2444014938271607e-06 G010.629-00.342
10.6297 -0.3383 -9.1000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G010.629-00.339
10.9646 0.0067 17.7000 0.0054 0.0054 0 4.0500 0.5 1.0 0.0 2.8929158673611113e-05 2.8929158673611113e-05 G010.964+00.006
11.1122 -0.4011 2.1000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G011.112-00.402
11.8932 0.7488 25.1000 0.0253 0.0253 0 4.0500 -0.5 1.0 0.0 0.0006398791840277778 0.0006398791840277778 G011.893+00.748
12.4299 -0.0481 -18.4000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G012.429-00.049
12.4744 -1.1397 41.0000 0.0458 0.0458 0 4.0500 -0.5 1.0 0.0 0.002095248904012346 0.002095248904012346 G012.474-01.140
12.4760 -1.1019 41.0000 0.0211 0.0211 0 4.0500 -0.5 1.0 0.0 0.00044597813659336415 0.00044597813659336415 G012.476-01.102
12.6324 -0.0173 33.5000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G012.632-00.018
12.7427 0.3907 20.7000 0.0746 0.0746 0 4.0500 -0.5 1.0 0.0 0.0055711295999999995 0.0055711295999999995 G012.742+00.390
12.7748 0.3307 15.8000 0.0083 0.0083 0 4.0500 0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G012.774+00.330
13.1315 -0.1483 40.6000 0.0051 0.0051 0 4.0500 0.5 1.0 0.0 2.59486945001929e-05 2.59486945001929e-05 G013.131-00.149
14.2079 -0.1921 36.1000 0.0845 0.0845 0 4.0500 -0.5 1.0 0.0 0.007143700833506944 0.007143700833506944 G014.207-00.193
14.5762 0.0913 -15.7000 0.0596 0.0596 0 4.0500 0.5 1.0 0.0 0.0035486014472415122 0.0035486014472415122 G014.576+00.091
14.6670 -0.4767 27.5000 0.0399 0.0399 0 4.0500 0.5 1.0 0.0 0.0015915002074845678 0.0015915002074845678 G014.667-00.477
15.1280 3.3100 18.8000 0.1577 0.1577 0 4.0500 -0.5 1.0 0.0 0.024878490017361112 0.024878490017361112 G015.128+03.310
15.2121 0.1675 69.2000 0.0245 0.0245 0 4.0500 -0.5 1.0 0.0 0.0006024433889660495 0.0006024433889660495 G015.212+00.167
15.6766 -0.2877 61.8000 0.0424 0.0424 0 4.0500 0.5 1.0 0.0 0.0018014483342785495 0.0018014483342785495 G015.676-00.288
16.2859 -0.1707 49.5000 0.0157 0.0157 0 4.0500 -0.5 1.0 0.0 0.00024752466684027776 0.00024752466684027776 G016.285-00.171
16.4248 -0.2004 44.5000 0.0083 0.0083 0 4.0500 -0.5 1.0 0.0 6.944467592611884e-05 6.944467592611884e-05 G016.424-00.201
16.6482 -0.3566 44.9000 0.0674 0.0674 0 4.0500 -0.5 1.0 0.0 0.00454365871111111 0.00454365871111111 G016.648-00.357
16.8567 -1.1553 20.4000 0.0999 0.0999 0 4.0500 -0.5 1.0 0.0 0.009970466282716051 0.009970466282716051 G016.856-01.156
16.9442 -0.0732 -4.5000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G016.944-00.074
16.9931 0.8738 -15.7000 0.1562 0.1562 0 4.0500 0.5 1.0 0.0 0.02438932918402778 0.02438932918402778 G016.993+00.873
17.3366 -0.1453 -6.2000 0.0143 0.0143 0 4.0500 0.5 1.0 0.0 0.0002037518340277778 0.0002037518340277778 G017.336-00.146
17.6380 0.1578 25.2000 0.0075 0.0075 0 4.0500 0.5 1.0 0.0 5.576106711111111e-05 5.576106711111111e-05 G017.638+00.157
17.9280 -0.6770 39.1000 0.0229 0.0229 0 4.0500 0.5 1.0 0.0 0.0005241746652970678 0.0005241746652970678 G017.928-00.677
18.0762 0.0681 58.2000 0.0106 0.0106 0 4.0500 0.5 1.0 0.0 0.00011304798882889659 0.00011304798882889659 G018.076+00.068
18.1446 -0.2800 -15.7000 0.0255 0.0255 0 4.0500 0.5 1.0 0.0 0.0006519936673611112 0.0006519936673611112 G018.144-00.281
18.1523 0.0908 53.0000 0.0130 0.0130 0 4.0500 -0.5 1.0 0.0 0.00016835458960667434 0.00016835458960667434 G018.152+00.090
18.1874 -0.4149 43.2000 0.0314 0.0314 0 4.0500 -0.5 1.0 0.0 0.0009889103148919753 0.0009889103148919753 G018.187-00.415
18.1951 -0.1706 46.1000 0.0090 0.0090 0 4.0500 0.5 1.0 0.0 8.027363575308639e-05 8.027363575308639e-05 G018.195-00.171
18.2189 0.3979 -0.4000 0.0242 0.0242 0 4.0500 0.5 1.0 0.0 0.0005871736694444444 0.0005871736694444444 G018.218+00.397
18.2535 -0.2978 50.9000 0.0285 0.0285 0 4.0500 -0.5 1.0 0.0 0.0008111816015625 0.0008111816015625 G018.253-00.298
18.3050 -0.3910 32.7000 0.0083 0.0083 0 4.0500 -0.5 1.0 0.0 6.944444444444444e-05 6.944444444444444e-05 G018.305-00.391
18.3293 0.0244 50.4000 0.0135 0.0135 0 4.0500 0.5 1.0 0.0 0.00018096676681790127 0.00018096676681790127 G018.329+00.024
18.4510 -0.0158 56.5000 0.0090 0.0090 0 4.0500 0.5 1.0 0.0 8.126571756250001e-05 8.126571756250001e-05 G018.451-00.016
18.4611 -0.0030 56.5000 0.0040 0.0040 0 4.0500 0.5 1.0 0.0 1.583465163271605e-05 1.583465163271605e-05 G018.461-00.003
18.5840 0.3440 10.8000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G018.584+00.344
18.6571 -0.0563 44.1000 0.0115 0.0115 0 4.0500 0.5 1.0 0.0 0.00013202839846373457 0.00013202839846373457 G018.657-00.057
18.6699 1.9650 -15.7000 0.0378 0.0378 0 4.0500 0.5 1.0 0.0 0.001430394422530864 0.001430394422530864 G018.669+01.965
18.7412 0.2507 19.1000 0.0095 0.0095 0 4.0500 0.5 1.0 0.0 8.931037517361113e-05 8.931037517361113e-05 G018.741+00.250
18.8320 -0.3000 46.4000 0.0059 0.0059 0 4.0500 0.5 1.0 0.0 3.484278549382716e-05 3.484278549382716e-05 G018.832-00.300
18.8810 -0.4930 65.5000 0.0153 0.0153 0 4.0500 -0.5 1.0 0.0 0.0002331559336419753 0.0002331559336419753 G018.881-00.493
18.9780 0.0308 52.3000 0.0383 0.0383 0 4.0500 -0.5 1.0 0.0 0.0014649543611882712 0.0014649543611882712 G018.978+00.030
19.0308 0.4238 25.4000 0.0108 0.0108 0 4.0500 0.5 1.0 0.0 0.00011673211818074846 0.00011673211818074846 G019.030+00.423
19.0451 -0.5877 68.2000 0.0168 0.0168 0 4.0500 -0.5 1.0 0.0 0.0002823846852044753 0.0002823846852044753 G019.045-00.588
19.0643 -0.2816 -15.7000 0.0111 0.0111 0 4.0500 0.5 1.0 0.0 0.00012279933443074846 0.00012279933443074846 G019.064-00.282
