GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb Source
18.6210 -0.0930 45.5000 0.1395 0.1395 0 1.3600 -0.5 1.0 0.0 0.019460249999999995 0.019460249999999995 2430
18.6680 0.0350 80.0000 0.0637 0.0637 0 1.4400 0.5 1.0 0.0 0.004053444444444444 0.004053444444444444 2431
18.7060 -0.2310 43.5000 0.0775 0.0775 0 2.9400 0.5 1.0 0.0 0.00600625 0.00600625 2436
18.6930 0.0120 27.2000 0.0695 0.0695 0 1.6400 0.5 1.0 0.0 0.004830249999999999 0.004830249999999999 2439
18.6830 0.2870 19.5000 0.1345 0.1345 0 2.4300 0.5 1.0 0.0 0.018090250000000002 0.018090250000000002 2446
18.8410 -0.2950 42.7000 0.0262 0.0262 0 1.0100 0.5 1.0 0.0 0.0006846944444444445 0.0006846944444444445 2456
18.9190 -0.3560 65.0000 0.3233 0.3233 0 2.3000 -0.5 1.0 0.0 0.10454444444444443 0.10454444444444443 2460
18.9200 -0.4010 25.5000 0.0838 0.0838 0 0.8900 -0.5 1.0 0.0 0.00702802777777778 0.00702802777777778 2464
18.8870 0.0410 49.2000 0.0595 0.0595 0 1.3700 0.5 1.0 0.0 0.0035402499999999996 0.0035402499999999996 2469
19.0320 0.0120 46.0000 0.1218 0.1218 0 1.8000 -0.5 1.0 0.0 0.014843361111111108 0.014843361111111108 2484
18.9570 -0.3080 48.7000 0.0358 0.0358 0 1.0000 0.5 1.0 0.0 0.0012840277777777774 0.0012840277777777774 2488
18.9730 0.1330 66.7000 0.0393 0.0393 0 1.4100 0.5 1.0 0.0 0.0015471111111111109 0.0015471111111111109 2496
19.0400 -0.5540 48.1000 0.0372 0.0372 0 1.4900 0.5 1.0 0.0 0.0013813611111111112 0.0013813611111111112 2503
19.1670 -0.2580 100.6000 0.1143 0.1143 0 1.5200 0.5 1.0 0.0 0.013072111111111112 0.013072111111111112 2520
19.2620 0.3380 19.7000 0.0932 0.0932 0 1.9300 0.5 1.0 0.0 0.008680027777777776 0.008680027777777776 2550
19.2880 -0.3780 52.8000 0.0372 0.0372 0 1.1900 -0.5 1.0 0.0 0.0013813611111111112 0.0013813611111111112 2553
19.2340 -0.4020 43.9000 0.0615 0.0615 0 0.7500 -0.5 1.0 0.0 0.00378225 0.00378225 2557
19.4230 -0.1830 60.2000 0.0783 0.0783 0 2.3800 0.5 1.0 0.0 0.006136111111111112 0.006136111111111112 2560
19.3770 0.0100 26.4000 0.2118 0.2118 0 1.7900 -0.5 1.0 0.0 0.044873361111111114 0.044873361111111114 2561
19.4850 0.1550 113.1000 0.0745 0.0745 0 1.1600 0.5 1.0 0.0 0.00555025 0.00555025 2567
19.4810 0.1680 21.3000 0.0358 0.0358 0 2.1900 0.5 1.0 0.0 0.0012840277777777774 0.0012840277777777774 2573
19.5500 -0.4520 63.5000 0.0470 0.0470 0 1.0300 0.5 1.0 0.0 0.002209 0.002209 2588
19.5980 -0.0900 60.5000 0.0852 0.0852 0 3.3900 0.5 1.0 0.0 0.0072533611111111115 0.0072533611111111115 2599
19.6220 -0.2310 41.1000 0.1015 0.1015 0 2.7000 -0.5 1.0 0.0 0.010302249999999999 0.010302249999999999 2603
19.6310 -0.1690 35.9000 0.0327 0.0327 0 1.5600 0.5 1.0 0.0 0.001067111111111111 0.001067111111111111 2606
19.7210 -0.1200 59.0000 0.0858 0.0858 0 2.6100 0.5 1.0 0.0 0.007367361111111113 0.007367361111111113 2614
19.7350 0.2590 19.6000 0.0665 0.0665 0 1.9400 0.5 1.0 0.0 0.004422250000000001 0.004422250000000001 2616
19.8400 -0.3390 44.6000 0.0367 0.0367 0 0.7300 0.5 1.0 0.0 0.0013444444444444445 0.0013444444444444445 2630
19.9000 0.1040 45.7000 0.0192 0.0192 0 0.6700 0.5 1.0 0.0 0.00036736111111111106 0.00036736111111111106 2637
19.8550 -0.4170 69.7000 0.1123 0.1123 0 1.7800 -0.5 1.0 0.0 0.012618777777777779 0.012618777777777779 2638
19.9270 -0.2290 65.7000 0.0720 0.0720 0 2.1800 -0.5 1.0 0.0 0.005184000000000001 0.005184000000000001 2641
19.9690 -0.2200 44.5000 0.0643 0.0643 0 1.3700 0.5 1.0 0.0 0.004138777777777777 0.004138777777777777 2649
20.0620 -0.1520 56.1000 0.0878 0.0878 0 2.2000 0.5 1.0 0.0 0.0077146944444444416 0.0077146944444444416 2650
20.0430 0.1990 17.7000 0.0183 0.0183 0 1.2200 0.5 1.0 0.0 0.00033611111111111114 0.00033611111111111114 2656
20.0840 -0.1470 42.2000 0.0590 0.0590 0 1.8100 0.5 1.0 0.0 0.0034809999999999997 0.0034809999999999997 2659
20.1610 -0.0590 63.7000 0.0173 0.0173 0 1.2400 0.5 1.0 0.0 0.00030044444444444443 0.00030044444444444443 2663
20.3060 0.0720 72.5000 0.1138 0.1138 0 3.2600 0.5 1.0 0.0 0.012958027777777777 0.012958027777777777 2664
20.3040 -0.2120 96.1000 0.0367 0.0367 0 0.8300 -0.5 1.0 0.0 0.0013444444444444445 0.0013444444444444445 2669
20.3710 -0.0150 51.0000 0.0345 0.0345 0 1.7800 0.5 1.0 0.0 0.0011902499999999997 0.0011902499999999997 2673
20.4110 0.0370 76.2000 0.1500 0.1500 0 2.8000 -0.5 1.0 0.0 0.0225 0.0225 2679
20.4710 0.1480 23.7000 0.0868 0.0868 0 2.7500 0.5 1.0 0.0 0.0075400277777777774 0.0075400277777777774 2687
