GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb Dist_lit KDA f_avg ID in_grs
28.4889 -0.3746 44.9900 0.0050 0.0022 177 3.3200 -0.5 -0.9986295347545738 0.05233595624294425 2.4778271604938273e-05 4.652409336419753e-06 3.11 N 1 3988 1
28.5130 -0.3792 46.2700 0.0029 0.0022 98 3.3200 -0.5 -0.13917310096006535 0.9902680687415704 8.62890625e-06 5.00640625e-06 3.18 N 1 3990 1
28.6289 0.3328 77.0900 0.0045 0.0032 134 3.3200 -0.5 -0.6946583704589974 0.7193398003386511 2.0100277777777777e-05 1.0355881558641976e-05 4.78 N 1 4010 1
28.6329 0.4774 28.8400 0.0034 0.0026 93 3.3200 0.5 -0.05233595624294384 0.9986295347545738 1.1607270447530865e-05 6.616327160493828e-06 12.79 F 1 4011 1
28.7293 0.1770 83.0400 0.0032 0.0015 120 3.3200 -0.5 -0.4999999999999998 0.8660254037844388 1.0195603780864196e-05 2.229214891975309e-06 5.09 N 1 4027 1
28.7394 0.1518 86.0100 0.0036 0.0028 178 3.3200 -0.5 -0.9993908270190958 0.03489949670250114 1.3120493827160492e-05 8.082964891975308e-06 5.24 N 1 4028 1
28.7531 0.2779 107.2700 0.0087 0.0040 170 3.3200 -0.5 -0.9848077530122081 0.17364817766693025 7.566583526234569e-05 1.6011113040123455e-05 6.66 N 1 4031 1
28.7628 0.2603 107.0500 0.0042 0.0032 250 3.3200 -0.5 -0.3420201433256685 -0.9396926207859084 1.795640625e-05 9.948767361111111e-06 6.64 N 1 4033 1
28.7827 0.2386 108.1100 0.0046 0.0034 179 3.3200 -0.5 -0.9998476951563913 0.017452406437283435 2.1083402777777776e-05 1.1645156250000002e-05 6.76 N 1 4039 1
28.7931 0.2744 83.0400 0.0018 0.0014 236 3.3200 -0.5 -0.5591929034707473 -0.8290375725550414 3.17532600308642e-06 1.837530864197531e-06 5.09 N 1 4041 1
28.7822 0.4668 86.4700 0.0044 0.0018 211 3.3200 0.5 -0.8571673007021123 -0.5150380749100542 1.912847415123457e-05 3.3917361111111107e-06 9.63 F 1 4042 1
28.7983 0.4622 86.6400 0.0020 0.0012 267 3.3200 0.5 -0.052335956242944306 -0.9986295347545738 3.939122299382715e-06 1.4466743827160496e-06 9.62 F 1 4043 1
28.7975 -0.0186 100.6800 0.0047 0.0027 211 3.3200 -0.5 -0.8571673007021123 -0.5150380749100542 2.233875192901235e-05 7.418057484567901e-06 6.11 N 1 4044 1
28.8100 0.2621 83.4600 0.0048 0.0025 133 3.3200 -0.5 -0.6819983600624984 0.7313537016191707 2.290685956790124e-05 6.0570679012345675e-06 5.11 N 1 4047 1
28.8230 0.3574 86.4400 0.0055 0.0037 213 3.3200 0.5 -0.838670567945424 -0.5446390350150271 2.9793402777777776e-05 1.4010464891975308e-05 9.63 F 1 4049 1
28.8399 -0.4169 100.4600 0.0020 0.0011 176 3.3200 -0.5 -0.9975640502598242 0.06975647374412552 3.88966049382716e-06 1.137777777777778e-06 6.1 N 1 4058 1
28.8388 0.4913 84.9500 0.0052 0.0021 150 3.3200 0.5 -0.8660254037844385 0.5000000000000003 2.704e-05 4.580788966049383e-06 9.7 F 1 4060 1
28.8836 0.3117 80.9100 0.0030 0.0023 168 3.3200 -0.5 -0.9781476007338056 0.20791169081775973 8.950069444444443e-06 5.366944444444444e-06 4.98 N 1 4065 1
28.8848 0.4972 83.8900 0.0034 0.0025 135 3.3200 0.5 -0.7071067811865475 0.7071067811865476 1.1654637345679011e-05 6.340603780864197e-06 9.75 F 1 4066 1
28.9097 0.1603 100.2500 0.0033 0.0016 220 3.3200 -0.5 -0.7660444431189781 -0.6427876096865393 1.1213196373456791e-05 2.551118827160494e-06 6.09 N 1 4070 1
28.9273 0.2381 107.2600 0.0019 0.0014 179 3.3200 -0.5 -0.9998476951563913 0.017452406437283435 3.437934027777778e-06 1.826251929012346e-06 6.7 N 1 4074 1
28.9381 0.3068 37.1300 0.0045 0.0034 99 3.3200 -0.5 -0.1564344650402308 0.9876883405951378 2.0614122299382714e-05 1.1560000000000001e-05 2.64 N 1 4075 1
28.9403 0.2473 103.4400 0.0047 0.0016 184 3.3200 -0.5 -0.9975640502598242 -0.06975647374412527 2.1907600308641977e-05 2.6632426697530867e-06 6.34 N 1 4076 1
28.9391 0.2365 106.8400 0.0020 0.0010 139 3.3200 -0.5 -0.754709580222772 0.6560590289905073 4.106251929012345e-06 1.0364371141975307e-06 6.66 N 1 4077 1
28.9572 -0.0489 81.3300 0.0045 0.0032 136 3.3200 -0.5 -0.719339800338651 0.6946583704589975 2.033759452160494e-05 1.0454444444444443e-05 5.0 N 1 4080 1
28.9686 0.2549 106.6300 0.0043 0.0028 175 3.3200 -0.5 -0.9961946980917455 0.0871557427476582 1.856173611111111e-05 7.570140817901234e-06 6.64 N 1 4084 1
29.0996 0.3034 95.3600 0.0046 0.0032 204 3.3200 -0.5 -0.9135454576426009 -0.4067366430758002 2.1045156250000005e-05 1.0213350694444445e-05 5.79 N 1 4100 1
29.1021 0.2809 95.3600 0.0023 0.0010 241 3.3200 -0.5 -0.48480962024633767 -0.8746197071393955 5.42501736111111e-06 1.0364371141975307e-06 5.79 N 1 4102 1
29.1127 0.2704 95.3600 0.0040 0.0012 262 3.3200 -0.5 -0.13917310096006583 -0.9902680687415703 1.6089012345679012e-05 1.4068595679012346e-06 5.79 N 1 4104 1
29.1568 0.4623 24.5900 0.0045 0.0030 146 3.3200 -0.5 -0.8290375725550416 0.5591929034707469 1.9814863040123454e-05 8.8093537808642e-06 1.83 N 1 4114 1
29.1879 -0.4077 75.8100 0.0023 0.0022 124 3.3200 0.5 -0.5591929034707467 0.8290375725550418 5.283613040123456e-06 4.913611111111111e-06 10.12 F 1 4116 1
29.1985 -0.2523 91.3300 0.0040 0.0022 115 3.3200 -0.5 -0.42261826174069933 0.90630778703665 1.6267777777777776e-05 4.754822530864196e-06 5.55 N 1 4119 1
29.2639 0.0530 89.6600 0.0055 0.0019 216 3.3200 0.5 -0.8090169943749475 -0.587785252292473 3.0571684027777775e-05 3.5469444444444447e-06 9.37 F 1 4128 1
29.5007 0.3845 81.7600 0.0035 0.0024 230 3.3200 -0.5 -0.6427876096865396 -0.7660444431189779 1.2075624999999998e-05 5.700156250000001e-06 5.03 N 1 4161 1
29.5246 -0.0124 48.6000 0.0065 0.0046 234 3.3200 0.5 -0.5877852522924732 -0.8090169943749473 4.228611882716049e-05 2.151929012345679e-05 11.51 F 1 4165 1
29.5496 -0.3822 101.1000 0.0027 0.0018 238 3.3200 0.5 -0.529919264233205 -0.8480480961564258 7.1037056327160515e-06 3.0625000000000003e-06 8.55 F 1 4169 1
29.5533 0.3249 94.0900 0.0024 0.0014 230 3.3200 -0.5 -0.6427876096865396 -0.7660444431189779 5.887363040123455e-06 2.038549382716049e-06 5.74 N 1 4173 1
29.5520 0.3391 94.0900 0.0029 0.0018 226 3.3200 -0.5 -0.6946583704589973 -0.7193398003386512 8.393896604938271e-06 3.2350019290123456e-06 5.74 N 1 4174 1
29.5777 -0.2707 97.2800 0.0028 0.0025 247 3.3200 -0.5 -0.3907311284892738 -0.9205048534524403 8.043526234567902e-06 6.495418595679013e-06 5.96 N 1 4178 1
29.5821 -0.2925 97.4900 0.0028 0.0018 164 3.3200 -0.5 -0.9612616959383189 0.2756373558169992 8.027777777777777e-06 3.300277777777778e-06 5.97 N 1 4179 1
29.5878 -0.2474 99.1900 0.0065 0.0043 209 3.3200 -0.5 -0.8746197071393959 -0.48480962024633695 4.28661188271605e-05 1.860963734567901e-05 6.09 N 1 4182 1
29.6099 -0.2842 97.7000 0.0055 0.0028 97 3.3200 -0.5 -0.12186934340514738 0.9925461516413221 3.0219452160493824e-05 7.996327160493826e-06 5.99 N 1 4188 1
29.6151 -0.2280 97.4900 0.0037 0.0019 93 3.3200 -0.5 -0.05233595624294384 0.9986295347545738 1.3782656250000001e-05 3.791674382716049e-06 5.97 N 1 4189 1
29.6219 -0.2790 97.2800 0.0023 0.0010 253 3.3200 -0.5 -0.2923717047227362 -0.9563047559630357 5.515974151234568e-06 1.0620447530864198e-06 5.96 N 1 4190 1
29.6256 -0.2036 99.1900 0.0035 0.0022 194 3.3200 -0.5 -0.9702957262759965 -0.2419218955996675 1.2415835262345678e-05 4.7730111882716056e-06 6.1 N 1 4194 1
29.6337 0.3689 81.9700 0.0047 0.0025 105 3.3200 -0.5 -0.25881904510252063 0.9659258262890683 2.2076946373456787e-05 6.25e-06 5.05 N 1 4197 1
29.6570 -0.2295 100.0400 0.0032 0.0026 193 3.3200 -0.5 -0.9743700647852352 -0.22495105434386498 1.0107100694444446e-05 6.573526234567902e-06 6.17 N 1 4199 1
29.6597 -0.0984 101.7400 0.0053 0.0036 192 3.3200 -0.5 -0.9781476007338056 -0.2079116908177595 2.8429631558641977e-05 1.3150696373456788e-05 6.31 N 1 4200 1
29.6840 -0.1849 95.5800 0.0048 0.0024 106 3.3200 -0.5 -0.27563735581699905 0.9612616959383189 2.337453896604939e-05 5.686900077160496e-06 5.85 N 1 4201 1
29.7236 -0.1474 100.0400 0.0041 0.0016 103 3.3200 -0.5 -0.22495105434386503 0.9743700647852352 1.6594307484567902e-05 2.546684027777778e-06 6.18 N 1 4206 1
29.7357 -0.1368 99.6100 0.0030 0.0012 101 3.3200 -0.5 -0.1908089953765448 0.981627183447664 8.991668595679013e-06 1.5417361111111108e-06 6.14 N 1 4208 1
29.7536 -0.1147 99.6100 0.0033 0.0021 124 3.3200 -0.5 -0.5591929034707467 0.8290375725550418 1.1037160493827163e-05 4.3229340277777774e-06 6.15 N 1 4210 1
29.7492 0.0683 44.9900 0.0029 0.0022 159 3.3200 -0.5 -0.9335804264972016 0.35836794954530066 8.178011188271606e-06 4.694444444444444e-06 3.08 N 1 4211 1
