GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg DESIGNATION in_grs
14.0554 0.387 44.821 0.0044 0.0044 0 3.367 -0.5 1.0 0.0 1.920143711419753e-05 1.920143711419753e-05 1 HIGALBM14.0554+0.3870 1
14.0719 0.0943 10.938 0.0013 0.0013 0 3.367 0.5 1.0 0.0 1.59741512345679e-06 1.59741512345679e-06 1 HIGALBM14.0719+0.0943 1
14.0958 0.7784 23.772 0.002 0.002 0 3.367 -0.5 1.0 0.0 3.922600308641976e-06 3.922600308641976e-06 1 HIGALBM14.0958+0.7784 1
14.1017 0.0871 9.344 0.0011 0.0011 0 3.367 0.5 1.0 0.0 1.256267361111111e-06 1.256267361111111e-06 1 HIGALBM14.1017+0.0871 0
14.113 0.2117 47.783 0.004 0.004 0 3.367 -0.5 1.0 0.0 1.5833767361111108e-05 1.5833767361111108e-05 1 HIGALBM14.1130+0.2117 1
14.1135 0.7519 26.287 0.0039 0.0039 0 3.367 -0.5 1.0 0.0 1.5015624999999999e-05 1.5015624999999999e-05 1 HIGALBM14.1135+0.7519 1
14.1513 0.7139 30.34 0.003 0.003 0 3.367 -0.5 1.0 0.0 9.091900077160494e-06 9.091900077160494e-06 1 HIGALBM14.1513+0.7139 1
14.1586 0.2813 26.496 0.0028 0.0028 0 3.367 -0.5 1.0 0.0 7.600742669753088e-06 7.600742669753088e-06 1 HIGALBM14.1586+0.2813 1
14.2152 0.6733 30.912 0.0026 0.0026 0 3.367 -0.5 1.0 0.0 6.523767361111112e-06 6.523767361111112e-06 1 HIGALBM14.2152+0.6733 1
14.2215 0.1081 21.988 0.0032 0.0032 0 3.367 -0.5 1.0 0.0 1.042751736111111e-05 1.042751736111111e-05 1 HIGALBM14.2215+0.1081 1
14.2337 0.2719 33.137 0.0033 0.0033 0 3.367 -0.5 1.0 0.0 1.1000277777777778e-05 1.1000277777777778e-05 1 HIGALBM14.2337+0.2719 1
14.2403 0.252 32.523 0.0024 0.0024 0 3.367 -0.5 1.0 0.0 5.927872299382716e-06 5.927872299382716e-06 1 HIGALBM14.2403+0.2520 1
14.2844 0.5875 17.528 0.0036 0.0036 0 3.367 -0.5 1.0 0.0 1.3292100694444445e-05 1.3292100694444445e-05 1 HIGALBM14.2844+0.5875 1
14.4087 0.7254 26.825 0.0027 0.0027 0 3.367 -0.5 1.0 0.0 7.305007716049384e-06 7.305007716049384e-06 1 HIGALBM14.4087+0.7254 1
14.4328 0.7255 26.863 0.0038 0.0038 0 3.367 -0.5 1.0 0.0 1.476907600308642e-05 1.476907600308642e-05 1 HIGALBM14.4328+0.7255 1
14.5205 0.7404 26.615 0.0029 0.0029 0 3.367 -0.5 1.0 0.0 8.426118827160492e-06 8.426118827160492e-06 1 HIGALBM14.5205+0.7404 1
14.5296 0.7465 26.629 0.0036 0.0036 0 3.367 -0.5 1.0 0.0 1.2790557484567901e-05 1.2790557484567901e-05 1 HIGALBM14.5296+0.7465 1
14.5335 0.7216 41.454 0.0033 0.0033 0 3.367 -0.5 1.0 0.0 1.1185308641975307e-05 1.1185308641975307e-05 1 HIGALBM14.5335+0.7216 1
14.571 0.648 22.15 0.0037 0.0037 0 3.367 -0.5 1.0 0.0 1.3526049382716048e-05 1.3526049382716048e-05 1 HIGALBM14.5710+0.6480 1
14.6084 0.7505 28.313 0.0032 0.0032 0 3.367 -0.5 1.0 0.0 1.0177872299382714e-05 1.0177872299382714e-05 1 HIGALBM14.6084+0.7505 1
14.6179 0.3313 26.509 0.0028 0.0028 0 3.367 -0.5 1.0 0.0 8.019909336419754e-06 8.019909336419754e-06 1 HIGALBM14.6179+0.3313 1
14.6226 0.6749 27.769 0.0029 0.0029 0 3.367 -0.5 1.0 0.0 8.305603780864198e-06 8.305603780864198e-06 1 HIGALBM14.6226+0.6749 1
