GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg Seq in_grs
7.992 -0.269 39.3 0.0061 0.0038 187 1.9215 0.5 -0.9925461516413221 -0.12186934340514731 3.685501736111111e-05 1.4125069444444443e-05 1 2235 0
8.187 0.477 12.1 0.0042 0.0023 98 1.9215 -0.5 -0.13917310096006535 0.9902680687415704 1.7651668595679015e-05 5.125192901234569e-06 1 2254 0
8.21 0.193 18.8 0.0048 0.0031 262 1.9215 -0.5 -0.13917310096006583 -0.9902680687415703 2.2774104938271603e-05 9.896267361111108e-06 1 2256 0
8.241 0.174 19.2 0.0068 0.0037 123 1.9215 -0.5 -0.5446390350150271 0.838670567945424 4.601361111111112e-05 1.3434261188271605e-05 1 2261 0
8.259 0.16 18.5 0.0066 0.0039 113 1.9215 -0.5 -0.3907311284892736 0.9205048534524404 4.405640625e-05 1.5101859567901233e-05 1 2262 0
8.282 0.164 18.9 0.0026 0.0023 254 1.9215 -0.5 -0.2756373558169997 -0.9612616959383187 6.55929012345679e-06 5.093798225308641e-06 1 2265 0
8.546 -0.341 37.1 0.0041 0.0023 153 1.9215 -0.5 -0.8910065241883678 0.45399049973954686 1.7210974151234572e-05 5.118906249999999e-06 1 2295 0
8.551 -0.295 35.7 0.0015 0.0014 175 1.9215 0.5 -0.9961946980917455 0.0871557427476582 2.2918595679012346e-06 1.956113040123457e-06 1 2296 0
8.58 -0.342 35.4 0.0044 0.0023 167 1.9215 -0.5 -0.9743700647852351 0.2249510543438652 1.920143711419753e-05 5.1946006944444445e-06 1 2297 0
8.666 -0.405 37.7 0.0027 0.0015 226 1.9215 0.5 -0.6946583704589973 -0.7193398003386512 7.463520447530866e-06 2.2541685956790126e-06 1 2300 0
8.691 -0.403 38.5 0.005 0.0035 150 1.9215 0.5 -0.8660254037844385 0.5000000000000003 2.4530007716049378e-05 1.2037044753086421e-05 1 2302 0
8.721 -0.408 38.9 0.0072 0.0038 154 1.9215 0.5 -0.8987940462991668 0.4383711467890777 5.216049382716049e-05 1.4324122299382717e-05 1 2303 0
8.712 -0.367 37.3 0.0029 0.0016 176 1.9215 0.5 -0.9975640502598242 0.06975647374412552 8.7025e-06 2.60015625e-06 1 2304 0
8.776 -0.462 38.9 0.0037 0.0018 221 1.9215 -0.5 -0.7547095802227721 -0.6560590289905072 1.358741512345679e-05 3.250007716049383e-06 1 2307 0
8.783 -0.351 38.0 0.0035 0.0019 156 1.9215 -0.5 -0.913545457642601 0.40673664307580004 1.211426697530864e-05 3.6258506944444453e-06 1 2308 0
8.803 -0.328 37.4 0.0037 0.003 201 1.9215 -0.5 -0.9335804264972016 -0.35836794954530043 1.353626736111111e-05 9.133827160493829e-06 1 2312 0
8.934 -0.311 37.4 0.0023 0.0017 156 1.9215 -0.5 -0.913545457642601 0.40673664307580004 5.4509278549382705e-06 3.0092611882716053e-06 1 2320 0
9.003 -0.307 38.2 0.0037 0.0022 165 1.9215 -0.5 -0.9659258262890683 0.2588190451025206 1.3454631558641974e-05 4.833890817901235e-06 1 2323 0
9.034 -0.312 37.7 0.0037 0.0019 209 1.9215 -0.5 -0.8746197071393959 -0.48480962024633695 1.3720850694444445e-05 3.6629706790123455e-06 1 2324 0
9.04 -0.521 36.8 0.0032 0.003 252 1.9215 -0.5 -0.30901699437494756 -0.9510565162951535 1.0133611111111113e-05 8.950069444444443e-06 1 2325 0
9.147 0.06 31.1 0.0031 0.002 261 1.9215 -0.5 -0.15643446504023106 -0.9876883405951377 9.506944444444444e-06 4.12315586419753e-06 1 2326 0
9.153 0.045 31.1 0.003 0.0023 132 1.9215 -0.5 -0.6691306063588582 0.7431448254773942 8.792872299382718e-06 5.226304012345679e-06 1 2327 0
9.23 -0.179 41.4 0.0027 0.0019 167 1.9215 -0.5 -0.9743700647852351 0.2249510543438652 7.2301234567901225e-06 3.748526234567901e-06 1 2330 0
9.283 -0.148 41.5 0.0067 0.0033 126 1.9215 -0.5 -0.587785252292473 0.8090169943749475 4.5393906249999995e-05 1.0963456790123457e-05 1 2331 0
9.62 0.195 4.5 0.0041 0.0039 114 1.9215 -0.5 -0.40673664307580026 0.9135454576426009 1.711890625e-05 1.5525788966049384e-05 1 2336 0
9.854 -0.036 17.5 0.0051 0.0027 254 1.9215 -0.5 -0.2756373558169997 -0.9612616959383187 2.6379637345679006e-05 7.350123456790124e-06 1 2342 0
9.953 -0.368 12.9 0.0046 0.0032 175 1.9215 0.5 -0.9961946980917455 0.0871557427476582 2.1223937114197534e-05 1.0346944444444445e-05 1 2344 0
9.979 -0.384 12.3 0.0036 0.003 232 1.9215 0.5 -0.6156614753256582 -0.788010753606722 1.2661736111111112e-05 9.268641975308644e-06 1 2346 0
9.996 -0.359 11.3 0.0047 0.0022 139 1.9215 0.5 -0.754709580222772 0.6560590289905073 2.2522934027777782e-05 4.969184027777777e-06 1 2350 0
10.402 -0.202 11.2 0.0042 0.0025 201 1.5919 -0.5 -0.9335804264972016 -0.35836794954530043 1.8050696373456788e-05 6.125625000000001e-06 0 2406 0
10.576 -0.349 -2.6 0.0044 0.0031 229 1.2928 -0.5 -0.6560590289905074 -0.7547095802227719 1.949467785493827e-05 9.319452160493829e-06 0 2416 0
10.595 -0.366 -3.3 0.0045 0.003 130 1.5989 -0.5 -0.6427876096865393 0.7660444431189781 2.008782600308642e-05 9.07515625e-06 0 2418 0
10.62 -0.436 -1.5 0.007 0.0028 266 1.7072 -0.5 -0.06975647374412558 -0.9975640502598242 4.952640625e-05 7.708335262345676e-06 0 2421 0
10.623 -0.385 -3.3 0.0058 0.0044 244 6.0731 -0.5 -0.43837114678907774 -0.8987940462991668 3.339876736111111e-05 1.9716066743827156e-05 0 2424 0
10.623 -0.333 -4.1 0.0081 0.0051 202 1.978 -0.5 -0.9271838545667874 -0.374606593415912 6.581265624999999e-05 2.5910927854938272e-05 0 2425 0
10.65 -0.123 28.9 0.0073 0.003 265 1.5306 -0.5 -0.08715574274765825 -0.9961946980917455 5.3310279706790115e-05 9.20111111111111e-06 0 2427 0
10.646 0.103 19.1 0.0041 0.0026 99 1.9215 -0.5 -0.1564344650402308 0.9876883405951378 1.7187934027777783e-05 6.666437114197531e-06 1 2428 0
10.666 0.089 19.4 0.0069 0.0045 91 2.8093 -0.5 -0.017452406437283473 0.9998476951563913 4.715111111111111e-05 2.0677229938271608e-05 0 2430 0
10.669 -0.165 29.5 0.0045 0.0026 236 1.6766 -0.5 -0.5591929034707473 -0.8290375725550414 2.020003086419753e-05 6.723937114197533e-06 0 2432 0
10.677 -0.124 31.3 0.0041 0.0034 152 1.9215 -0.5 -0.882947592858927 0.4694715627858907 1.6924081790123457e-05 1.1241118827160495e-05 1 2436 0
10.686 -0.311 -1.7 0.0052 0.0041 139 1.3258 -0.5 -0.754709580222772 0.6560590289905073 2.6522500000000002e-05 1.6810000000000003e-05 0 2437 0
10.69 -0.402 25.9 0.0024 0.0023 258 1.9215 -0.5 -0.20791169081775895 -0.9781476007338057 5.954955632716049e-06 5.075007716049382e-06 1 2440 0
10.72 -0.33 -1.7 0.0051 0.0031 203 1.4953 -0.5 -0.9205048534524404 -0.39073112848927355 2.5797934027777777e-05 9.835192901234565e-06 0 2445 0
10.75 -0.229 29.6 0.0081 0.0031 171 1.1374 -0.5 -0.9876883405951377 0.15643446504023098 6.565500771604939e-05 9.601390817901235e-06 0 2450 0
10.76 -0.197 31.6 0.0074 0.0049 253 1.0738 -0.5 -0.2923717047227362 -0.9563047559630357 5.459567901234569e-05 2.4378906249999993e-05 0 2453 0
10.967 -0.095 30.2 0.0053 0.0039 228 1.3587 -0.5 -0.6691306063588585 -0.743144825477394 2.760626736111111e-05 1.5166697530864197e-05 0 2485 0
10.996 -0.078 29.9 0.0069 0.0039 141 1.6531 -0.5 -0.7771459614569709 0.6293203910498374 4.7533364197530864e-05 1.5449266975308645e-05 0 2489 0
11.052 -0.042 30.4 0.0039 0.002 264 0.9608 -0.5 -0.10452846326765423 -0.9945218953682733 1.5482038966049383e-05 3.906113040123457e-06 0 2504 0
11.061 -0.093 29.3 0.0088 0.0041 234 0.9302 -0.5 -0.5877852522924732 -0.8090169943749473 7.817506944444443e-05 1.6673611111111108e-05 0 2507 0
11.082 -0.537 29.8 0.0045 0.0035 110 1.6625 -0.5 -0.3420201433256687 0.9396926207859084 1.9839600694444447e-05 1.24648225308642e-05 0 2511 0
11.117 -0.124 29.0 0.0096 0.0046 201 1.1962 -0.5 -0.9335804264972016 -0.35836794954530043 9.306889660493827e-05 2.1454909336419753e-05 0 2519 0
11.194 -0.101 31.7 0.0089 0.0031 135 1.9215 -0.5 -0.7071067811865475 0.7071067811865476 7.83962673611111e-05 9.455625e-06 1 2530 0
11.221 -0.102 31.7 0.0046 0.0019 169 1.9215 -0.5 -0.981627183447664 0.19080899537654497 2.1057901234567902e-05 3.7970852623456785e-06 1 2531 0
11.225 -0.059 31.8 0.0038 0.0021 122 0.9725 -0.5 -0.5299192642332048 0.8480480961564261 1.4166859567901237e-05 4.468526234567902e-06 0 2533 0
11.28 -0.453 32.3 0.004 0.003 186 0.8501 -0.5 -0.9945218953682733 -0.10452846326765348 1.6290192901234565e-05 9.150625000000002e-06 0 2540 0
11.291 -0.061 31.6 0.0077 0.0036 183 1.6201 -0.5 -0.9986295347545738 -0.052335956242944 5.9911900077160485e-05 1.2612363040123458e-05 0 2544 0
