lonMin lonMax latMin latMax velMin velMax KDA pFar
53.38 53.8 -0.055 0.135 22.745 24.735 F 1.0
18.755 19.025 -0.65 -0.37 64.42 67.22 N 0.0
30.33 30.65 -0.49 -0.23 9.98 14.54 N 0.0
34.99 35.29 -0.85 -0.67 32.72 37.72 N 0.0
34.015 34.465 -0.04 0.32 54.76 60.74 N 0.0
19.78 20.1 -0.9 -0.72 41.465 44.275 N 0.0
23.215 23.665 -0.415 -0.005 98.225 103.975 N 0.0
38.795 39.085 -0.6 -0.32 40.105 43.075 F 1.0
23.335 23.545 -0.295 -0.125 101.93 105.37 N 0.0
30.665 30.915 -0.215 0.095 91.67 97.79 N 0.0
53.0 53.28 -0.125 0.205 20.845 23.235 N 0.0
22.295 22.585 0.215 0.465 83.115 85.925 N 0.0
24.26 24.72 0.33 0.65 99.76 105.0 N 0.0
19.185 19.595 -0.125 0.105 24.78 28.66 N 0.0
34.6 34.88 -0.855 -0.465 44.525 48.855 N 0.0
22.795 23.285 -0.555 -0.265 72.22 76.42 N 0.0
18.56 18.82 -0.155 0.035 43.49 47.35 F 1.0
18.08 18.3 -0.45 -0.17 48.015 52.165 N 0.0
25.48 25.8 -0.245 0.025 92.49 95.27 N 0.0
24.58 25.0 -0.125 0.305 108.825 112.075 N 0.0
23.02 23.46 -0.525 -0.195 75.935 78.665 N 0.0
19.73 20.05 -0.68 -0.44 42.19 46.09 N 0.0
21.915 22.165 -0.115 0.495 47.965 53.915 N 0.0
24.205 24.575 -0.03 0.31 111.315 115.545 N 0.0
30.385 30.695 -0.2 0.08 90.885 96.015 N 0.0
33.75 34.33 -0.495 -0.125 10.74 12.94 F 1.0
18.69 19.09 -0.795 -0.525 62.275 65.965 N 0.0
23.16 23.52 -0.35 -0.07 78.99 83.25 N 0.0
23.96 24.52 0.105 0.375 112.15 116.41 N 0.0
34.74 35.24 0.185 0.495 51.27 54.87 N 0.0
24.285 24.495 -0.095 0.175 115.325 116.635 N 0.0
25.285 25.595 -0.315 -0.005 93.835 97.325 N 0.0
29.4 29.88 -0.845 -0.375 73.64 77.56 N 0.0
30.165 30.515 -0.09 0.27 94.295 97.705 N 0.0
18.82 19.06 -0.375 -0.145 63.185 65.915 N 0.0
28.645 29.035 -0.425 -0.095 85.73 90.13 N 0.0
24.77 25.11 -0.31 -0.01 44.88 49.36 N 0.0
28.81 29.07 -0.335 -0.085 93.865 97.295 N 0.0
25.105 25.275 -0.395 -0.125 62.48 64.92 N 0.0
19.685 19.995 -0.535 -0.285 68.415 71.725 N 0.0
19.04 19.24 0.0 0.18 44.75 47.79 N 0.0
18.725 19.055 -0.16 0.24 47.93 51.41 F 1.0
24.47 24.81 -0.66 -0.26 59.55 63.59 F 1.0
22.43 22.75 -0.375 -0.045 75.875 80.425 N 0.0
23.805 24.175 -0.005 0.285 78.14 81.56 N 0.0
28.45 28.73 -0.465 0.045 84.655 89.505 N 0.0
18.84 19.24 -0.805 -0.415 66.16 69.74 N 0.0
27.135 27.645 -0.345 0.025 90.65 94.55 N 0.0
18.355 18.725 -0.335 0.015 49.735 53.005 N 0.0
20.48 20.9 -0.225 0.305 6.13 8.19 N 0.0
27.79 28.19 -0.53 -0.39 44.47 47.21 N 0.0
22.7 23.18 -0.345 0.025 62.975 67.825 N 0.0
29.775 30.105 -0.825 -0.695 82.385 85.815 N 0.0
28.085 28.295 -0.175 0.055 96.545 99.715 N 0.0
20.665 20.915 -0.17 0.05 57.295 61.605 F 1.0
29.02 29.26 -0.405 -0.215 92.905 96.555 N 0.0
20.02 20.26 -0.95 -0.67 39.2 41.44 N 0.0
22.545 22.835 -0.595 -0.325 74.87 78.87 N 0.0
25.635 25.845 0.185 0.295 108.665 112.235 N 0.0
18.955 19.225 -0.355 -0.165 63.86 66.94 N 0.0
28.085 28.595 -0.15 0.23 75.9 81.24 N 0.0
22.82 23.36 0.22 1.06 34.595 39.245 F 1.0
34.635 35.045 0.195 0.485 57.075 60.125 N 0.0
21.305 21.575 -0.825 -0.595 53.96 56.42 N 0.0
34.22 34.56 -0.865 -0.555 10.89 12.79 N 0.0
35.32 35.66 -0.41 -0.21 43.48 46.5 N 0.0
35.685 35.995 -0.32 -0.1 27.53 29.31 N 0.0
34.2 34.58 -1.0 -0.82 12.75 14.33 N 0.0
45.97 46.41 -0.76 -0.36 48.865 53.015 N 0.0
26.17 26.41 -0.21 0.09 98.77 102.59 N 0.0
29.38 29.7 0.08 0.3 77.81 81.89 N 0.0
24.38 24.7 -0.275 -0.045 42.515 45.765 N 0.0
21.205 21.575 -0.745 -0.375 51.51 56.33 N 0.0
19.835 20.045 -0.32 -0.1 64.17 68.33 N 0.0
39.02 39.56 -0.7 -0.52 62.81 66.29 N 0.0
24.165 24.615 -0.55 -0.27 42.035 44.545 N 0.0
23.8 24.38 0.185 0.695 92.28 97.18 N 0.0
42.955 43.425 -0.245 0.225 7.93 15.75 F 1.0
20.265 20.515 0.51 0.87 5.915 6.705 N 0.0
20.45 20.63 0.74 0.94 5.415 6.365 N 0.0
24.485 24.695 -0.46 -0.26 42.545 44.895 N 0.0
23.005 23.475 -0.68 -0.34 60.39 63.61 N 0.0
28.975 29.305 -0.11 0.19 96.165 98.395 N 0.0
38.1 38.58 -1.02 -0.8 15.96 17.92 N 0.0
24.515 24.765 -0.3 -0.02 111.46 114.54 N 0.0
36.41 36.77 -0.24 0.12 51.55 55.43 N 0.0
30.535 30.845 -0.115 0.195 75.11 83.73 N 0.0
36.5 36.98 -0.355 0.035 52.55 57.83 N 0.0
23.37 23.71 0.09 0.39 79.98 85.66 F 1.0
17.895 18.085 0.02 0.16 21.575 24.205 N 0.0
18.1 18.38 -0.425 -0.095 65.245 68.095 N 0.0
18.855 19.125 -0.225 0.105 59.15 63.15 N 0.0
25.445 25.935 0.83 1.25 42.38 45.06 N 0.0
29.195 29.385 -0.78 -0.44 62.155 66.085 N 0.0
23.94 24.44 -0.2 0.18 50.565 54.715 N 0.0
20.525 20.855 -0.53 -0.09 61.13 64.57 N 0.0
27.605 27.875 -0.005 0.185 98.925 102.435 N 0.0
18.345 18.835 -0.54 -0.08 44.76 47.78 N 0.0
21.655 22.125 -0.765 -0.355 51.56 57.98 N 0.0
22.84 23.44 -0.49 -0.23 55.86 58.78 N 0.0
53.57 53.91 0.345 0.635 23.35 24.97 N 0.0
17.88 18.2 -0.565 -0.155 40.29 44.59 N 0.0
22.835 23.445 -0.605 -0.315 55.435 58.365 N 0.0
28.875 29.105 -0.8 -0.62 50.8 54.48 N 0.0
47.035 47.745 -0.995 -0.825 6.42 7.9 N 0.0
18.15 18.43 -0.405 -0.115 66.17 70.57 N 0.0
19.625 20.055 -0.555 -0.165 42.8 47.18 N 0.0
40.975 41.405 -0.4 -0.02 57.16 62.58 F 1.0
29.565 30.015 -0.35 -0.07 87.925 91.335 F 1.0
35.24 35.64 -0.325 0.005 43.785 47.055 N 0.0
24.325 24.755 -0.43 0.01 98.52 101.98 N 0.0
29.05 29.33 -0.085 0.165 94.325 97.675 N 0.0
18.075 18.205 0.24 0.54 21.66 24.12 N 0.0
35.89 36.09 -0.125 0.005 29.12 30.26 N 0.0
30.8 31.28 0.22 0.46 74.775 80.665 N 0.0
22.4 22.68 -0.155 0.135 68.775 72.225 N 0.0
22.585 22.895 -0.4 -0.12 102.52 109.04 N 0.0
35.4 35.78 -0.38 -0.14 43.88 46.96 N 0.0
23.9 24.28 -0.045 0.325 51.345 55.635 F 1.0
23.275 23.705 -0.755 -0.265 60.755 65.785 N 0.0
35.26 35.62 0.05 0.23 74.1 78.8 F 1.0
24.98 25.4 -0.015 0.295 103.535 107.165 N 0.0
24.38 24.6 -0.86 -0.56 46.675 50.105 N 0.0
35.48 35.7 -0.06 0.24 49.255 51.785 N 0.0
27.775 28.105 -0.36 -0.06 95.045 97.815 N 0.0
21.005 21.275 0.455 0.625 7.535 8.485 N 0.0
26.25 26.63 -0.82 -0.5 62.7 66.4 N 0.0
19.245 19.735 0.13 0.45 5.97 7.51 N 0.0
49.91 50.27 0.49 0.69 -3.08 0.4 N 0.0
27.375 27.905 -0.03 0.21 81.115 85.385 N 0.0
22.505 22.775 -0.255 0.035 4.43 5.65 F 1.0
35.37 35.71 -0.255 0.135 52.42 56.26 N 0.0
25.985 26.495 0.025 0.255 95.185 98.515 N 0.0
23.36 23.82 -0.15 0.23 102.875 107.825 N 0.0
29.7 30.08 -0.41 -0.11 95.115 98.585 F 1.0
28.425 28.755 -0.055 0.135 100.07 102.99 N 0.0
21.485 21.695 0.225 0.755 7.84 9.04 N 0.0
