GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg Source
18.1000 -0.1000 103.7400 0.0667 0.0600 0 3.6000 -0.5 1.0 0.0 0.0044444444444444444 0.0036 1 G18.1-0.1
18.6000 -0.2000 62.8400 0.0500 0.0500 0 3.6000 -0.5 1.0 0.0 0.0025000000000000005 0.0025000000000000005 1 G18.6-0.2
18.8000 0.3000 21.3500 0.1417 0.0917 0 3.6000 0.5 1.0 0.0 0.020069444444444442 0.008402777777777776 1 G18.8+0.3
20.0000 -0.2000 66.4000 0.0833 0.0833 0 3.6000 0.5 1.0 0.0 0.006944444444444444 0.006944444444444444 1 G20.0-0.2
21.5000 -0.9000 67.7900 0.0300 0.0250 0 3.6000 -0.5 1.0 0.0 0.0009 0.0006250000000000001 1 G21.5-0.9
21.8000 -0.6000 93.3500 0.1667 0.1667 0 3.6000 -0.5 1.0 0.0 0.027777777777777776 0.027777777777777776 1 G21.8-0.6
22.7000 -0.2000 76.6300 0.2167 0.2167 0 3.6000 -0.5 1.0 0.0 0.04694444444444445 0.04694444444444445 1 G22.7-0.2
23.3000 -0.3000 78.5100 0.2250 0.2250 0 3.6000 -0.5 1.0 0.0 0.050625 0.050625 1 G23.3-0.3
23.6000 0.3000 99.9500 nan nan 0 3.6000 -0.5 1.0 0.0 nan nan 1 G23.6+0.3
24.7000 -0.6000 60.6700 0.1250 0.1250 0 3.6000 -0.5 1.0 0.0 0.015625 0.015625 1 G24.7−0.6
24.7000 0.6000 54.6000 0.2500 0.1250 0 3.6000 -0.5 1.0 0.0 0.0625 0.015625 1 G24.7+0.6
27.4000 0.0000 99.9500 0.0483 0.0433 0 3.6000 -0.5 1.0 0.0 0.002336111111111111 0.001877777777777778 1 G27.4+0.0
28.6000 -0.1000 86.0000 0.2000 0.1500 0 3.6000 0.5 1.0 0.0 0.04000000000000001 0.0225 1 G28.6-0.1
29.6000 0.1000 80.1600 0.0417 0.0417 0 3.6000 -0.5 1.0 0.0 0.001736111111111111 0.001736111111111111 1 G29.6+0.1
29.7000 -0.3000 95.0000 0.0433 0.0250 0 3.6000 -0.5 1.0 0.0 0.001877777777777778 0.0006250000000000001 1 G29.7-0.3
32.8000 -0.1000 81.8100 0.2067 0.1000 0 3.6000 -0.5 1.0 0.0 0.04271111111111111 0.010000000000000002 1 G32.8-0.1
33.6000 0.1000 57.9000 0.1050 0.0983 0 3.6000 -0.5 1.0 0.0 0.011024999999999998 0.009669444444444446 1 G33.6+0.1
34.7000 -0.4000 50.4800 0.2950 0.2000 0 3.6000 -0.5 1.0 0.0 0.08702499999999999 0.04000000000000001 1 G34.7-0.4
35.6000 -0.4000 63.6700 0.2500 0.1833 0 3.6000 -0.5 1.0 0.0 0.0625 0.033611111111111105 1 G35.6-0.4
39.2000 -0.3000 69.3900 0.0650 0.0583 0 3.6000 0.5 1.0 0.0 0.0042250000000000005 0.003402777777777778 1 G39.2-0.3
41.1000 -0.3000 63.0100 0.0383 0.0217 0 3.6000 0.5 1.0 0.0 0.0014694444444444442 0.0004694444444444445 1 G41.1-0.3
41.5000 0.4000 63.6700 0.1167 0.1167 0 3.6000 -0.5 1.0 0.0 0.013611111111111112 0.013611111111111112 1 G41.5+0.4
43.3000 -0.2000 12.5500 0.0433 0.0433 0 3.6000 0.5 1.0 0.0 0.001877777777777778 0.001877777777777778 1 G43.3-0.2
