GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg MSXDC m_MSXDC
14.3950 0.4960 20.6000 0.0275 0.0117 169 9.3000 -0.5 -0.981627183447664 0.19080899537654497 0.0007562499999999999 0.00013611111111111107 0 G014.39+00.49 0
15.0510 0.0730 30.9000 0.0433 0.0250 157 6.8000 -0.5 -0.9205048534524404 0.39073112848927377 0.001877777777777778 0.0006250000000000001 0 G015.05+00.07 0
15.2640 -0.1570 16.5000 0.0125 0.0075 289 2.1000 -0.5 0.32556815445715714 -0.9455185755993166 0.00015625000000000003 5.625e-05 0 G015.31-00.16 c
15.3290 -0.1560 31.1000 0.0100 0.0067 355 3.3000 -0.5 0.9961946980917455 -0.08715574274765832 0.0001 4.444444444444445e-05 0 G015.31-00.16 e
15.2710 -0.1260 16.1000 0.0125 0.0083 305 2.4000 -0.5 0.573576436351046 -0.8191520442889918 0.00015625000000000003 6.944444444444444e-05 0 G015.31-00.16 a
15.4230 0.1040 36.5000 0.0108 0.0092 217 3.8000 -0.5 -0.7986355100472928 -0.6018150231520484 0.00011736111111111112 8.402777777777778e-05 0 G015.39+00.11 a
15.2830 0.1680 31.4000 0.0083 0.0067 357 4.2000 -0.5 0.9986295347545738 -0.05233595624294437 6.944444444444444e-05 4.444444444444445e-05 0 G015.39+00.11 b
15.7170 -0.5780 17.4000 0.0392 0.0242 242 3.4000 -0.5 -0.46947156278589075 -0.882947592858927 0.001534027777777778 0.0005840277777777777 0 G015.71-00.57 0
15.8090 -0.4090 53.9000 0.1483 0.1100 212 8.4000 -0.5 -0.8480480961564261 -0.5299192642332048 0.02200277777777778 0.012099999999999998 0 G015.80-00.40 0
15.8880 -0.1070 26.2000 0.0608 0.0317 205 2.2000 -0.5 -0.90630778703665 -0.4226182617406993 0.003700694444444444 0.0010027777777777776 0 G015.88-00.10 0
15.9050 -0.6220 18.7000 0.0433 0.0408 133 4.3000 -0.5 -0.6819983600624984 0.7313537016191707 0.001877777777777778 0.001667361111111111 0 G015.90-00.62 0
15.9530 -0.3480 42.1000 0.0558 0.0333 247 5.3000 -0.5 -0.3907311284892738 -0.9205048534524403 0.003117361111111111 0.0011111111111111111 0 G015.95-00.34 0
16.4250 0.3560 38.3000 0.0633 0.0442 119 1.4000 -0.5 -0.48480962024633695 0.8746197071393959 0.00401111111111111 0.0019506944444444444 0 G016.42+00.35 0
16.6500 -0.0690 59.3000 0.0408 0.0100 189 2.8000 -0.5 -0.9876883405951378 -0.15643446504023076 0.001667361111111111 0.0001 0 G016.64-00.06 0
16.8090 0.2540 24.5000 0.0650 0.0575 235 3.5000 -0.5 -0.5735764363510457 -0.8191520442889921 0.0042250000000000005 0.00330625 0 G016.80+00.25 0
