GRSMC GLON GLAT Vlsr Dist
G053.59+00.04 53.59 0.04 23.74 8.15
G029.89-00.06 29.89 -0.06 100.68 6.78
G049.49-00.41 49.49 -0.41 56.9 5.53
G018.89-00.51 18.89 -0.51 65.82 4.78
G030.49-00.36 30.49 -0.36 12.26 1.0
G035.14-00.76 35.14 -0.76 35.22 2.35
G034.24+00.14 34.24 0.14 57.75 3.78
G019.94-00.81 19.94 -0.81 42.87 3.5
G023.44-00.21 23.44 -0.21 101.1 6.43
G038.94-00.46 38.94 -0.46 41.59 10.5
G023.44-00.21 23.44 -0.21 103.65 6.65
G030.79-00.06 30.79 -0.06 94.73 6.22
G030.29-00.21 30.29 -0.21 104.5 7.32
G053.14+00.04 53.14 0.04 22.04 1.8
G022.44+00.34 22.44 0.34 84.52 5.43
G024.49+00.49 24.49 0.49 102.38 6.47
G049.39-00.26 49.39 -0.26 50.94 6.82
G019.39-00.01 19.39 -0.01 26.72 2.42
G034.74-00.66 34.74 -0.66 46.69 3.08
G023.04-00.41 23.04 -0.41 74.32 4.9
G018.69-00.06 18.69 -0.06 45.42 12.35
G018.19-00.31 18.19 -0.31 50.09 4.07
G025.64-00.11 25.64 -0.11 93.88 5.85
G024.79+00.09 24.79 0.09 110.45 7.7
G030.44-00.26 30.44 -0.26 103.65 7.3
G023.24-00.36 23.24 -0.36 77.3 5.05
G019.89-00.56 19.89 -0.56 44.14 3.58
G022.04+00.19 22.04 0.19 50.94 3.8
G024.39+00.14 24.39 0.14 113.43 7.72
G030.54-00.06 30.54 -0.06 93.45 6.07
G034.04-00.31 34.04 -0.31 11.84 13.12
G018.89-00.66 18.89 -0.66 64.12 4.7
G023.34-00.21 23.34 -0.21 81.12 5.22
G024.24+00.24 24.24 0.24 114.28 7.72
G034.99+00.34 34.99 0.34 53.07 3.47
G024.39+00.04 24.39 0.04 115.98 7.72
G024.39+00.04 24.39 0.04 116.83 7.72
G025.44-00.16 25.44 -0.16 95.58 5.95
G029.64-00.61 29.64 -0.61 75.6 4.85
G030.34+00.09 30.34 0.09 96.0 6.28
G018.94-00.26 18.94 -0.26 64.55 4.72
G028.84-00.26 28.84 -0.26 87.93 5.55
G024.94-00.16 24.94 -0.16 47.12 3.4
G028.94-00.21 28.94 -0.21 95.58 6.07
G025.19-00.26 25.19 -0.26 63.7 4.3
G019.84-00.41 19.84 -0.41 70.07 4.9
G019.14+00.09 19.14 0.09 46.27 3.78
G018.89+00.04 18.89 0.04 49.67 12.1
G032.09+00.09 32.09 0.09 96.85 7.07
G024.64-00.46 24.64 -0.46 61.57 11.25
G022.59-00.21 22.59 -0.21 78.15 5.1
G023.99+00.14 23.99 0.14 79.85 5.12
G028.59-00.21 28.59 -0.21 87.08 5.5
G054.14-00.06 54.14 -0.06 39.89 6.32
G045.49+00.04 45.49 0.04 58.17 7.45
G019.04-00.61 19.04 -0.61 67.95 4.88
G027.39-00.16 27.39 -0.16 92.6 5.8
G018.54-00.16 18.54 -0.16 51.37 4.1
G020.69+00.04 20.69 0.04 7.16 0.82
G027.99-00.46 27.99 -0.46 45.84 3.17
G022.94-00.16 22.94 -0.16 65.4 4.47
G029.99-00.26 29.99 -0.26 103.65 7.32
G029.94-00.76 29.94 -0.76 84.1 5.35
G030.04-00.26 30.04 -0.26 106.2 7.32
G028.19-00.06 28.19 -0.06 98.13 6.22
G020.79-00.06 20.79 -0.06 59.45 11.55
G029.14-00.31 29.14 -0.31 94.73 6.03
G020.14-00.81 20.14 -0.81 40.32 3.33
G022.69-00.46 22.69 -0.46 76.87 5.05
G025.74+00.24 25.74 0.24 110.45 7.62
G019.09-00.26 19.09 -0.26 65.4 4.75
G028.34+00.04 28.34 0.04 78.57 5.0
G023.09+00.64 23.09 0.64 36.92 12.75
G034.84+00.34 34.84 0.34 58.6 3.83
G042.14-00.61 42.14 -0.61 67.52 5.12
G021.44-00.71 21.44 -0.71 55.19 4.07
G034.39-00.71 34.39 -0.71 11.84 0.95
G035.49-00.31 35.49 -0.31 44.99 2.95
G035.84-00.21 35.84 -0.21 28.42 1.92
G034.39-00.91 34.39 -0.91 13.54 1.05
G046.19-00.56 46.19 -0.56 50.94 3.75
G026.29-00.06 26.29 -0.06 100.68 6.32
G029.54+00.19 29.54 0.19 79.85 5.07
G024.54-00.16 24.54 -0.16 44.14 3.25
G021.39-00.56 21.39 -0.56 53.92 4.0
G019.94-00.21 19.94 -0.21 66.25 4.72
G039.29-00.61 39.29 -0.61 64.55 4.43
G024.39-00.41 24.39 -0.41 43.29 3.2
G051.39-00.01 51.39 -0.01 54.77 5.3
G024.09+00.44 24.09 0.44 94.73 5.93
G043.19-00.01 43.19 -0.01 11.84 11.43
G020.39+00.69 20.39 0.69 6.31 0.75
G020.54+00.84 20.54 0.84 5.89 0.73
G024.59-00.36 24.59 -0.36 43.72 3.22
G023.24-00.51 23.24 -0.51 62.0 4.3
G031.24+00.09 31.24 0.09 107.9 7.25
G031.29+00.09 31.29 0.09 103.65 7.25
G029.14+00.04 29.14 0.04 97.28 6.25
G038.34-00.91 38.34 -0.91 16.94 1.25
G024.64-00.16 24.64 -0.16 113.0 7.7
